,chembl_ids,IC50s,SMILES
4521,CHEMBL4218191,0.02621,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1
3486,CHEMBL3585778,0.02685,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1
3484,CHEMBL3585776,0.02685,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1
3483,CHEMBL3585777,0.02685,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC
3487,CHEMBL3585779,0.02685,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1
3488,CHEMBL3585780,0.02685,COc1ccccc1C(C)NS(N)(=O)=O
3485,CHEMBL3585775,0.02685,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1
3489,CHEMBL3585781,0.02685,COc1ccc(C(C)NS(N)(=O)=O)cc1
3490,CHEMBL3585782,0.02685,COc1ccc(C(C)NS(N)(=O)=O)cc1OC
3491,CHEMBL3585783,0.02685,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1
3492,CHEMBL3585784,0.02685,COc1cccc(OC)c1C(C)NS(N)(=O)=O
4520,CHEMBL4208866,0.02836,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1
4529,CHEMBL4209518,0.02938,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2
2528,CHEMBL2019048,0.035,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1.Cl
992,CHEMBL372202,0.04,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1
2141,CHEMBL54126,0.043,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]
1249,CHEMBL225198,0.06,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
1965,CHEMBL1083984,0.06,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2
2527,CHEMBL2019049,0.065,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1
6398,CHEMBL5190569,0.068,COc1cc(/C=C/c2nnc(-c3ccc(C(F)(F)F)cc3)o2)ccc1O
1919,CHEMBL307004,0.07,Clc1ccc2c(NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3
1086,CHEMBL225567,0.07,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
2525,CHEMBL2019053,0.09,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1
6399,CHEMBL5197518,0.092,COc1cc(/C=C/c2nnc(-c3ccc(OC(F)(F)F)cc3)o2)ccc1O
996,CHEMBL381499,0.1,O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12
6580,CHEMBL5417346,0.1,Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-]
2537,CHEMBL2019035,0.1,COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2c1.Cl
5492,CHEMBL4751100,0.12,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2
1088,CHEMBL223443,0.12,O=C(Cc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
1090,CHEMBL225021,0.13,O=C(CCCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
3566,CHEMBL3621322,0.14,CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2[N+](=O)[O-])c1=O)Cc1ccccc1[N+](=O)[O-].[Br-].[Br-]
6576,CHEMBL5433692,0.14,CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2)c1=O)Cc1ccccc1.[Br-].[Br-]
6012,CHEMBL5187881,0.15,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3ccc(F)cc3)cc1)OC2.[Br-]
6403,CHEMBL5286535,0.19,COc1cc(/C=C/c2nnc(-c3ccc(F)cc3F)o2)ccc1O
1913,CHEMBL32823,0.2,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
1977,CHEMBL223443,0.2,O=C(Cc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
2533,CHEMBL2019041,0.2,COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2cc1OC.Cl
